miRNA,Gene
hsa-miR-106b-5p,PANK3
hsa-miR-106b-5p,AHRR
hsa-miR-106b-5p,PDCD6-AHRR
hsa-miR-106b-5p,MARCHF6
hsa-miR-106b-5p,MAP3K1
hsa-miR-106b-5p,FCHO2
hsa-miR-106b-5p,POLR3G
hsa-miR-106b-5p,RGMB
hsa-miR-106b-5p,SMAD5
hsa-miR-106b-5p,PURA
hsa-miR-106b-5p,NPM1
hsa-miR-106b-5p,CREBRF
hsa-miR-106b-5p,SQSTM1
hsa-miR-106b-5p,SLC22A23
hsa-miR-106b-5p,STK38
hsa-miR-106b-5p,ENPP5
hsa-miR-106b-5p,TNFRSF21
hsa-miR-106b-5p,PHIP
hsa-miR-106b-5p,RRAGD
hsa-miR-106b-5p,OSTM1
hsa-miR-106b-5p,REV3L
hsa-miR-106b-5p,MAP7
hsa-miR-106b-5p,SOX4
hsa-miR-106b-5p,CDKN1A
hsa-miR-106b-5p,VEGFA
hsa-miR-106b-5p,CENPQ
hsa-miR-106b-5p,SOBP
hsa-miR-106b-5p,ASF1A
hsa-miR-106b-5p,GJA1
hsa-miR-106b-5p,HECA
hsa-miR-106b-5p,SASH1
hsa-miR-106b-5p,SNX9
hsa-miR-106b-5p,QKI
hsa-miR-106b-5p,C6orf120
hsa-miR-106b-5p,PURB
hsa-miR-106b-5p,PON2
hsa-miR-106b-5p,MAP11
hsa-miR-106b-5p,GIGYF1
hsa-miR-106b-5p,CCDC71L
hsa-miR-106b-5p,BMT2
hsa-miR-106b-5p,FAM3C
hsa-miR-106b-5p,ZNF800
hsa-miR-106b-5p,MKRN1
hsa-miR-106b-5p,FASTK
hsa-miR-106b-5p,ARL4A
hsa-miR-106b-5p,ITGB8
hsa-miR-106b-5p,LIMK1
hsa-miR-106b-5p,PHTF2
hsa-miR-106b-5p,CROT
hsa-miR-106b-5p,ANKIB1
hsa-miR-106b-5p,AGFG2
hsa-miR-106b-5p,HBP1
hsa-miR-106b-5p,DNAJB9
hsa-miR-106b-5p,CALD1
hsa-miR-106b-5p,UBE3C
hsa-miR-106b-5p,PPP1R3B
hsa-miR-106b-5p,RAB11FIP1
hsa-miR-106b-5p,PCMTD1
hsa-miR-106b-5p,RB1CC1
hsa-miR-106b-5p,PLAG1
hsa-miR-106b-5p,UBE2W
hsa-miR-106b-5p,SNX16
hsa-miR-106b-5p,TMEM64
hsa-miR-106b-5p,TP53INP1
hsa-miR-106b-5p,UBR5
hsa-miR-106b-5p,KLF10
hsa-miR-106b-5p,LRP12
hsa-miR-106b-5p,ATAD2
hsa-miR-106b-5p,SLC7A2
hsa-miR-106b-5p,PPP2R2A
hsa-miR-106b-5p,BNIP3L
hsa-miR-106b-5p,DPYSL2
hsa-miR-106b-5p,MAK16
hsa-miR-106b-5p,ADAM9
hsa-miR-106b-5p,YTHDF3
hsa-miR-106b-5p,SDC2
hsa-miR-106b-5p,NFIB
hsa-miR-106b-5p,RNF38
hsa-miR-106b-5p,ZNF367
hsa-miR-106b-5p,ABCA1
hsa-miR-106b-5p,TMEM245
hsa-miR-106b-5p,PPP6C
hsa-miR-106b-5p,FAM102A
hsa-miR-106b-5p,VLDLR
hsa-miR-106b-5p,ZBTB43
hsa-miR-106b-5p,RBBP7
hsa-miR-106b-5p,SCML2
hsa-miR-106b-5p,KLHL15
hsa-miR-106b-5p,ACSL4
hsa-miR-106b-5p,ZDHHC9
hsa-miR-106b-5p,RAP2C
hsa-miR-106b-5p,SYAP1
hsa-miR-106b-5p,PRRG1
hsa-miR-106b-5p,ZBTB33
hsa-miR-107,SRM
hsa-miR-107,UBR4
hsa-miR-107,TGFBR3
hsa-miR-107,IGSF3
hsa-miR-107,NOTCH2
hsa-miR-107,PRKAB2
hsa-miR-107,ARNT
hsa-miR-107,UBE2Q1
hsa-miR-107,ASH1L
hsa-miR-107,MEF2D
hsa-miR-107,ARL8A
hsa-miR-107,IRF2BP2
hsa-miR-107,PDIK1L
hsa-miR-107,AGO1
hsa-miR-107,MIGA1
hsa-miR-107,DNAJB4
hsa-miR-107,LRRC8D
hsa-miR-107,FNBP1L
hsa-miR-107,KCNC4
hsa-miR-107,RGS4
hsa-miR-107,BTG2
hsa-miR-107,RASSF5
hsa-miR-107,MAP3K21
hsa-miR-107,GLUD1
hsa-miR-107,RAB11FIP2
hsa-miR-107,VCL
hsa-miR-107,SLC35G1
hsa-miR-107,HELLS
hsa-miR-107,BTRC
hsa-miR-107,PLEKHA1
hsa-miR-107,SOX6
hsa-miR-107,SF1
hsa-miR-107,ARHGAP32
hsa-miR-107,NAV2
hsa-miR-107,CTNND1
hsa-miR-107,AP001931.2
hsa-miR-107,RAB1B
hsa-miR-107,UBE4A
hsa-miR-107,SLC2A3
hsa-miR-107,C2CD5
hsa-miR-107,TM7SF3
hsa-miR-107,KIF21A
hsa-miR-107,TWF1
hsa-miR-107,ATF7
hsa-miR-107,PAWR
hsa-miR-107,C12orf76
hsa-miR-107,TRIAP1
hsa-miR-107,CLIP1
hsa-miR-107,ETNK1
hsa-miR-107,RASSF8
hsa-miR-107,SRGAP1
hsa-miR-107,HMGA2
hsa-miR-107,DYRK2
hsa-miR-107,WASHC4
hsa-miR-107,SETD1B
hsa-miR-107,RAN
hsa-miR-107,LATS2
hsa-miR-107,UBL3
hsa-miR-107,ZMYM2
hsa-miR-107,CDK8
hsa-miR-107,MBNL2
hsa-miR-107,CUL4A
hsa-miR-107,FERMT2
hsa-miR-107,SIX4
hsa-miR-107,DICER1
hsa-miR-107,ARHGAP5
hsa-miR-107,SUSD6
hsa-miR-107,PPP2R5C
hsa-miR-107,EIF5
hsa-miR-107,COPS2
hsa-miR-107,SNRPN
hsa-miR-107,SNURF
hsa-miR-107,KIF23
hsa-miR-107,ARIH1
hsa-miR-107,N4BP1
hsa-miR-107,SALL1
hsa-miR-107,C16orf72
hsa-miR-107,RBBP6
hsa-miR-107,VPS4A
hsa-miR-107,FLOT2
hsa-miR-107,BLMH
hsa-miR-107,GPATCH8
hsa-miR-107,MTMR4
hsa-miR-107,AXIN2
hsa-miR-107,DUS1L
hsa-miR-107,ATP1B2
hsa-miR-107,NDEL1
hsa-miR-107,NF1
hsa-miR-107,CDK5R1
hsa-miR-107,ZCCHC2
hsa-miR-107,MED26
hsa-miR-107,BCAT2
hsa-miR-107,CARM1
hsa-miR-107,CCNE1
hsa-miR-107,FAM98A
hsa-miR-107,ATL2
hsa-miR-107,BOLA3
hsa-miR-107,TLK1
hsa-miR-107,IHH
hsa-miR-107,RAB10
hsa-miR-107,PRKCE
hsa-miR-107,VAMP8
hsa-miR-107,SOWAHC
hsa-miR-107,UBR3
hsa-miR-107,NRP2
hsa-miR-107,AGFG1
hsa-miR-107,CAB39
hsa-miR-107,NOL4L
hsa-miR-107,MYH9
hsa-miR-107,HIC2
hsa-miR-107,ZNRF3
hsa-miR-107,YWHAH
hsa-miR-107,NUP50
hsa-miR-107,MAP4
hsa-miR-107,DCP1A
hsa-miR-107,CGGBP1
hsa-miR-107,ATP13A3
hsa-miR-107,SNRK
hsa-miR-107,ARIH2
hsa-miR-107,MBNL1
hsa-miR-107,CLOCK
hsa-miR-107,PGRMC2
hsa-miR-107,OTUD4
hsa-miR-107,FBXW7
hsa-miR-107,ADD1
hsa-miR-107,SLAIN2
hsa-miR-107,SGMS2
hsa-miR-107,GALNT7
hsa-miR-107,CHD1
hsa-miR-107,NREP
hsa-miR-107,AFF4
hsa-miR-107,JAKMIP2
hsa-miR-107,CSNK1A1
hsa-miR-107,ICE1
hsa-miR-107,RAI14
hsa-miR-107,PIK3R1
hsa-miR-107,TNPO1
hsa-miR-107,VCAN
hsa-miR-107,CSNK1G3
hsa-miR-107,PURA
hsa-miR-107,CREBRF
hsa-miR-107,PNISR
hsa-miR-107,LATS1
hsa-miR-107,HMGA1
hsa-miR-107,TBPL1
hsa-miR-107,MYB
hsa-miR-107,AKAP12
hsa-miR-107,HNRNPA2B1
hsa-miR-107,PURB
hsa-miR-107,SBDS
hsa-miR-107,CACNA2D1
hsa-miR-107,USP42
hsa-miR-107,ANKIB1
hsa-miR-107,CAPZA2
hsa-miR-107,CALU
hsa-miR-107,EN2
hsa-miR-107,LONRF1
hsa-miR-107,SLC20A2
hsa-miR-107,PLAG1
hsa-miR-107,MYBL1
hsa-miR-107,TPD52
hsa-miR-107,RUNX1T1
hsa-miR-107,ZHX1
hsa-miR-107,SDCBP
hsa-miR-107,ZBTB10
hsa-miR-107,WWP1
hsa-miR-107,PLEKHF2
hsa-miR-107,RNF38
hsa-miR-107,FBXO10
hsa-miR-107,IARS1
hsa-miR-107,PPP6C
hsa-miR-107,CDC37L1
hsa-miR-107,TLE4
hsa-miR-107,MFSD14B
hsa-miR-107,ZBTB34
hsa-miR-107,EIF1AX
hsa-miR-107,RPS6KA3
hsa-miR-107,RAP2C
hsa-miR-107,OGT
hsa-miR-107,ZNF711
hsa-miR-10a-5p,WDR26
hsa-miR-10a-5p,LRRC8B
hsa-miR-10a-5p,MTF2
hsa-miR-10a-5p,FNBP1L
hsa-miR-10a-5p,ZMYND11
hsa-miR-10a-5p,GATA3
hsa-miR-10a-5p,H3-5
hsa-miR-10a-5p,SLC38A2
hsa-miR-10a-5p,E2F7
hsa-miR-10a-5p,GOLGA3
hsa-miR-10a-5p,RAP2A
hsa-miR-10a-5p,NEDD4
hsa-miR-10a-5p,RORA
hsa-miR-10a-5p,HOXB3
hsa-miR-10a-5p,H3-3B
hsa-miR-10a-5p,RPRD1A
hsa-miR-10a-5p,GATA6
hsa-miR-10a-5p,SDC1
hsa-miR-10a-5p,BCL2L11
hsa-miR-10a-5p,BRWD1
hsa-miR-10a-5p,TFRC
hsa-miR-10a-5p,TRIM2
hsa-miR-10a-5p,ARRDC3
hsa-miR-10a-5p,CNOT6
hsa-miR-10a-5p,E2F3
hsa-miR-10a-5p,SERPINE1
hsa-miR-10a-5p,HNRNPK
hsa-miR-10a-5p,ZNF367
hsa-miR-10b-5p,WDR26
hsa-miR-10b-5p,LRRC8B
hsa-miR-10b-5p,MTF2
hsa-miR-10b-5p,FNBP1L
hsa-miR-10b-5p,ZMYND11
hsa-miR-10b-5p,GATA3
hsa-miR-10b-5p,H3-5
hsa-miR-10b-5p,SLC38A2
hsa-miR-10b-5p,E2F7
hsa-miR-10b-5p,GOLGA3
hsa-miR-10b-5p,RAP2A
hsa-miR-10b-5p,NEDD4
hsa-miR-10b-5p,RORA
hsa-miR-10b-5p,HOXB3
hsa-miR-10b-5p,H3-3B
hsa-miR-10b-5p,RPRD1A
hsa-miR-10b-5p,GATA6
hsa-miR-10b-5p,SDC1
hsa-miR-10b-5p,BCL2L11
hsa-miR-10b-5p,BRWD1
hsa-miR-10b-5p,TFRC
hsa-miR-10b-5p,TRIM2
hsa-miR-10b-5p,ARRDC3
hsa-miR-10b-5p,CNOT6
hsa-miR-10b-5p,E2F3
hsa-miR-10b-5p,SERPINE1
hsa-miR-10b-5p,HNRNPK
hsa-miR-10b-5p,ZNF367
hsa-miR-122-5p,SSR2
hsa-miR-122-5p,PLXNA2
hsa-miR-122-5p,CLIC4
hsa-miR-122-5p,LAMC1
hsa-miR-122-5p,PIP4K2A
hsa-miR-122-5p,KIF5B
hsa-miR-122-5p,ARL2
hsa-miR-122-5p,CS
hsa-miR-122-5p,SPRY2
hsa-miR-122-5p,DICER1
hsa-miR-122-5p,ADAM10
hsa-miR-122-5p,MYO9A
hsa-miR-122-5p,PKM
hsa-miR-122-5p,ALDOA
hsa-miR-122-5p,AC093512.2
hsa-miR-122-5p,UBE2G1
hsa-miR-122-5p,CTDNEP1
hsa-miR-122-5p,GIT1
hsa-miR-122-5p,G6PC3
hsa-miR-122-5p,LMNB2
hsa-miR-122-5p,SLC1A5
hsa-miR-122-5p,BCAT2
hsa-miR-122-5p,CALM3
hsa-miR-122-5p,DUSP2
hsa-miR-122-5p,PLEKHB2
hsa-miR-122-5p,NOL4L
hsa-miR-122-5p,G3BP2
hsa-miR-122-5p,ZNF827
hsa-miR-122-5p,SLC35A4
hsa-miR-122-5p,CANX
hsa-miR-122-5p,PEG10
hsa-miR-122-5p,CUX1
hsa-miR-122-5p,FOXP2
hsa-miR-122-5p,PLAG1
hsa-miR-122-5p,RAD21
hsa-miR-124-3p,ECE1
hsa-miR-124-3p,AK2
hsa-miR-124-3p,EFCAB14
hsa-miR-124-3p,DHCR24
hsa-miR-124-3p,ZRANB2
hsa-miR-124-3p,CNN3
hsa-miR-124-3p,CERS2
hsa-miR-124-3p,ALDH9A1
hsa-miR-124-3p,ELK4
hsa-miR-124-3p,TARBP1
hsa-miR-124-3p,CAMTA1
hsa-miR-124-3p,VAMP3
hsa-miR-124-3p,RNF11
hsa-miR-124-3p,PDE4B
hsa-miR-124-3p,LMO4
hsa-miR-124-3p,PKN2
hsa-miR-124-3p,SLC30A7
hsa-miR-124-3p,PRPF38B
hsa-miR-124-3p,HIPK1
hsa-miR-124-3p,ZBTB7B
hsa-miR-124-3p,CEP350
hsa-miR-124-3p,LAMC1
hsa-miR-124-3p,BTG2
hsa-miR-124-3p,ATP2B4
hsa-miR-124-3p,GALNT2
hsa-miR-124-3p,SPRTN
hsa-miR-124-3p,KLF6
hsa-miR-124-3p,SVIL
hsa-miR-124-3p,ITGB1
hsa-miR-124-3p,P4HA1
hsa-miR-124-3p,ANXA7
hsa-miR-124-3p,ZCCHC24
hsa-miR-124-3p,ANXA11
hsa-miR-124-3p,VIM
hsa-miR-124-3p,ARL5B
hsa-miR-124-3p,HECTD2
hsa-miR-124-3p,SCD
hsa-miR-124-3p,PIK3C2A
hsa-miR-124-3p,ATL3
hsa-miR-124-3p,RELA
hsa-miR-124-3p,DDX6
hsa-miR-124-3p,BCL9L
hsa-miR-124-3p,FAR1
hsa-miR-124-3p,QSER1
hsa-miR-124-3p,HIPK3
hsa-miR-124-3p,MDK
hsa-miR-124-3p,CTNND1
hsa-miR-124-3p,AP001931.2
hsa-miR-124-3p,TMEM109
hsa-miR-124-3p,CAPN1
hsa-miR-124-3p,FRMD8
hsa-miR-124-3p,TSKU
hsa-miR-124-3p,AMOTL1
hsa-miR-124-3p,LMO3
hsa-miR-124-3p,GXYLT1
hsa-miR-124-3p,ATF7
hsa-miR-124-3p,NEMP1
hsa-miR-124-3p,CDK4
hsa-miR-124-3p,CTDSP2
hsa-miR-124-3p,NAP1L1
hsa-miR-124-3p,OSBPL8
hsa-miR-124-3p,CLIP1
hsa-miR-124-3p,WNK1
hsa-miR-124-3p,CCND2
hsa-miR-124-3p,ELK3
hsa-miR-124-3p,SLC7A1
hsa-miR-124-3p,KPNA3
hsa-miR-124-3p,COL4A1
hsa-miR-124-3p,L2HGDH
hsa-miR-124-3p,SIX4
hsa-miR-124-3p,ZFP36L1
hsa-miR-124-3p,IRF2BPL
hsa-miR-124-3p,RCOR1
hsa-miR-124-3p,SPPL2A
hsa-miR-124-3p,SCAMP2
hsa-miR-124-3p,CHSY1
hsa-miR-124-3p,NIPA1
hsa-miR-124-3p,CHP1
hsa-miR-124-3p,BLOC1S6
hsa-miR-124-3p,IQGAP1
hsa-miR-124-3p,FURIN
hsa-miR-124-3p,GGA2
hsa-miR-124-3p,RANBP10
hsa-miR-124-3p,CBFB
hsa-miR-124-3p,NFAT5
hsa-miR-124-3p,ATMIN
hsa-miR-124-3p,PITPNA
hsa-miR-124-3p,CTC1
hsa-miR-124-3p,FLOT2
hsa-miR-124-3p,VAT1
hsa-miR-124-3p,GRB2
hsa-miR-124-3p,ARHGDIA
hsa-miR-124-3p,MAP2K4
hsa-miR-124-3p,TAOK1
hsa-miR-124-3p,ITGA3
hsa-miR-124-3p,SEPTIN9
hsa-miR-124-3p,CBX2
hsa-miR-124-3p,ROCK1
hsa-miR-124-3p,USP14
hsa-miR-124-3p,ANKRD27
hsa-miR-124-3p,CEBPA
hsa-miR-124-3p,CLIP3
hsa-miR-124-3p,SERTAD3
hsa-miR-124-3p,AKT1S1
hsa-miR-124-3p,PTBP1
hsa-miR-124-3p,SCAMP4
hsa-miR-124-3p,NFIX
hsa-miR-124-3p,CAPNS1
hsa-miR-124-3p,MYADM
hsa-miR-124-3p,SOS1
hsa-miR-124-3p,ZFP36L2
hsa-miR-124-3p,STARD7
hsa-miR-124-3p,MGAT4A
hsa-miR-124-3p,SLC35F5
hsa-miR-124-3p,BAZ2B
hsa-miR-124-3p,RBMS1
hsa-miR-124-3p,STK39
hsa-miR-124-3p,RAB10
hsa-miR-124-3p,LCLAT1
hsa-miR-124-3p,SOCS5
hsa-miR-124-3p,MAT2A
hsa-miR-124-3p,LIMS1
hsa-miR-124-3p,BCL2L11
hsa-miR-124-3p,SPOPL
hsa-miR-124-3p,ITPRID2
hsa-miR-124-3p,C2orf69
hsa-miR-124-3p,NRP2
hsa-miR-124-3p,CTDSP1
hsa-miR-124-3p,RNPEPL1
hsa-miR-124-3p,RRBP1
hsa-miR-124-3p,GSS
hsa-miR-124-3p,TOMM34
hsa-miR-124-3p,TP53INP2
hsa-miR-124-3p,RCAN1
hsa-miR-124-3p,BRWD1
hsa-miR-124-3p,PTTG1IP
hsa-miR-124-3p,PRR14L
hsa-miR-124-3p,MYH9
hsa-miR-124-3p,PLXNB2
hsa-miR-124-3p,PIM3
hsa-miR-124-3p,ADAMTS9
hsa-miR-124-3p,CLDND1
hsa-miR-124-3p,ZBTB11
hsa-miR-124-3p,LRRC58
hsa-miR-124-3p,FSTL1
hsa-miR-124-3p,SERP1
hsa-miR-124-3p,KPNA4
hsa-miR-124-3p,TMEM41A
hsa-miR-124-3p,EDEM1
hsa-miR-124-3p,GNAI2
hsa-miR-124-3p,SLC25A36
hsa-miR-124-3p,FXR1
hsa-miR-124-3p,CHIC2
hsa-miR-124-3p,G3BP2
hsa-miR-124-3p,ANXA5
hsa-miR-124-3p,TADA2B
hsa-miR-124-3p,LIMCH1
hsa-miR-124-3p,SMARCAD1
hsa-miR-124-3p,PALLD
hsa-miR-124-3p,MYO10
hsa-miR-124-3p,DAB2
hsa-miR-124-3p,CHD1
hsa-miR-124-3p,KIF3A
hsa-miR-124-3p,AFF4
hsa-miR-124-3p,PCDH1
hsa-miR-124-3p,NR3C1
hsa-miR-124-3p,ADAM19
hsa-miR-124-3p,TBC1D9B
hsa-miR-124-3p,AHRR
hsa-miR-124-3p,PDCD6-AHRR
hsa-miR-124-3p,KIF2A
hsa-miR-124-3p,PAM
hsa-miR-124-3p,SMAD5
hsa-miR-124-3p,NDFIP1
hsa-miR-124-3p,G3BP1
hsa-miR-124-3p,GALNT10
hsa-miR-124-3p,STK38
hsa-miR-124-3p,ELOVL5
hsa-miR-124-3p,SLC17A5
hsa-miR-124-3p,COL12A1
hsa-miR-124-3p,CD164
hsa-miR-124-3p,RREB1
hsa-miR-124-3p,HIVEP1
hsa-miR-124-3p,MYLIP
hsa-miR-124-3p,PIM1
hsa-miR-124-3p,SLC29A1
hsa-miR-124-3p,ARFGEF3
hsa-miR-124-3p,QKI
hsa-miR-124-3p,SYPL1
hsa-miR-124-3p,CREB3L2
hsa-miR-124-3p,EIF3B
hsa-miR-124-3p,AHR
hsa-miR-124-3p,RALA
hsa-miR-124-3p,PTPN12
hsa-miR-124-3p,CAV1
hsa-miR-124-3p,CALU
hsa-miR-124-3p,GSTK1
hsa-miR-124-3p,LONRF1
hsa-miR-124-3p,SNAI2
hsa-miR-124-3p,BPNT2
hsa-miR-124-3p,SNX16
hsa-miR-124-3p,TP53INP1
hsa-miR-124-3p,PLEC
hsa-miR-124-3p,AK3
hsa-miR-124-3p,PTPRD
hsa-miR-124-3p,MLLT3
hsa-miR-124-3p,B4GALT1
hsa-miR-124-3p,TLN1
hsa-miR-124-3p,GAS1
hsa-miR-124-3p,SPTLC1
hsa-miR-124-3p,ABCA1
hsa-miR-124-3p,KLF4
hsa-miR-124-3p,PTBP3
hsa-miR-124-3p,NIBAN2
hsa-miR-124-3p,RAPGEF1
hsa-miR-124-3p,TLE4
hsa-miR-124-3p,MAGT1
hsa-miR-124-3p,DDX3X
hsa-miR-124-3p,YIPF6
hsa-miR-124-3p,CHIC1
hsa-miR-124-3p,FAM199X
hsa-miR-124-3p,STK26
hsa-miR-124-3p,PHF6
hsa-miR-124-3p,RTL8C
hsa-miR-125a-5p,PHC2
hsa-miR-125a-5p,MTF1
hsa-miR-125a-5p,DRAM2
hsa-miR-125a-5p,MCL1
hsa-miR-125a-5p,CDC42SE1
hsa-miR-125a-5p,ZNF281
hsa-miR-125a-5p,SELENON
hsa-miR-125a-5p,OSBPL9
hsa-miR-125a-5p,BTG2
hsa-miR-125a-5p,LIPA
hsa-miR-125a-5p,SGPL1
hsa-miR-125a-5p,SYVN1
hsa-miR-125a-5p,KLC2
hsa-miR-125a-5p,MLF2
hsa-miR-125a-5p,NCKAP5L
hsa-miR-125a-5p,BAZ2A
hsa-miR-125a-5p,COPZ1
hsa-miR-125a-5p,ESYT1
hsa-miR-125a-5p,MSRB3
hsa-miR-125a-5p,TXNRD1
hsa-miR-125a-5p,CHAMP1
hsa-miR-125a-5p,PPP4R3A
hsa-miR-125a-5p,WARS1
hsa-miR-125a-5p,KHNYN
hsa-miR-125a-5p,SLC39A9
hsa-miR-125a-5p,ZSCAN29
hsa-miR-125a-5p,OAZ2
hsa-miR-125a-5p,ANPEP
hsa-miR-125a-5p,RAB8B
hsa-miR-125a-5p,ARID3B
hsa-miR-125a-5p,SMG1
hsa-miR-125a-5p,GGA2
hsa-miR-125a-5p,CDH5
hsa-miR-125a-5p,CBFB
hsa-miR-125a-5p,IST1
hsa-miR-125a-5p,STAT3
hsa-miR-125a-5p,DUS1L
hsa-miR-125a-5p,PAFAH1B1
hsa-miR-125a-5p,PCTP
hsa-miR-125a-5p,CDR2L
hsa-miR-125a-5p,VPS4B
hsa-miR-125a-5p,IER2
hsa-miR-125a-5p,BCL2L12
hsa-miR-125a-5p,ZNF460
hsa-miR-125a-5p,TGOLN2
hsa-miR-125a-5p,SEMA4C
hsa-miR-125a-5p,GLS
hsa-miR-125a-5p,RETREG2
hsa-miR-125a-5p,BRWD1
hsa-miR-125a-5p,NUP210
hsa-miR-125a-5p,SLC26A6
hsa-miR-125a-5p,BRPF1
hsa-miR-125a-5p,FNDC3B
hsa-miR-125a-5p,SCARB2
hsa-miR-125a-5p,RUFY3
hsa-miR-125a-5p,ZSWIM6
hsa-miR-125a-5p,LNPEP
hsa-miR-125a-5p,PRRC1
hsa-miR-125a-5p,SLC35A4
hsa-miR-125a-5p,GTPBP2
hsa-miR-125a-5p,RREB1
hsa-miR-125a-5p,E2F3
hsa-miR-125a-5p,LIN28B
hsa-miR-125a-5p,PRDM1
hsa-miR-125a-5p,LFNG
hsa-miR-125a-5p,MFHAS1
hsa-miR-125a-5p,MTUS1
hsa-miR-125a-5p,TP53INP1
hsa-miR-125a-5p,B4GALT1
hsa-miR-125a-5p,SEMA4D
hsa-miR-125a-5p,MEGF9
hsa-miR-125a-5p,TOR2A
hsa-miR-125a-5p,GPR107
hsa-miR-125a-5p,DYNLT3
hsa-miR-125a-5p,FMR1
hsa-miR-125b-5p,PHC2
hsa-miR-125b-5p,MTF1
hsa-miR-125b-5p,DRAM2
hsa-miR-125b-5p,MCL1
hsa-miR-125b-5p,CDC42SE1
hsa-miR-125b-5p,ZNF281
hsa-miR-125b-5p,SELENON
hsa-miR-125b-5p,OSBPL9
hsa-miR-125b-5p,BTG2
hsa-miR-125b-5p,LIPA
hsa-miR-125b-5p,SGPL1
hsa-miR-125b-5p,SYVN1
hsa-miR-125b-5p,KLC2
hsa-miR-125b-5p,MLF2
hsa-miR-125b-5p,NCKAP5L
hsa-miR-125b-5p,BAZ2A
hsa-miR-125b-5p,COPZ1
hsa-miR-125b-5p,ESYT1
hsa-miR-125b-5p,MSRB3
hsa-miR-125b-5p,TXNRD1
hsa-miR-125b-5p,SLC7A1
hsa-miR-125b-5p,CHAMP1
hsa-miR-125b-5p,PPP4R3A
hsa-miR-125b-5p,WARS1
hsa-miR-125b-5p,KHNYN
hsa-miR-125b-5p,SLC39A9
hsa-miR-125b-5p,ZSCAN29
hsa-miR-125b-5p,OAZ2
hsa-miR-125b-5p,ANPEP
hsa-miR-125b-5p,RAB8B
hsa-miR-125b-5p,ARID3B
hsa-miR-125b-5p,SMG1
hsa-miR-125b-5p,GGA2
hsa-miR-125b-5p,CDH5
hsa-miR-125b-5p,CBFB
hsa-miR-125b-5p,IST1
hsa-miR-125b-5p,STAT3
hsa-miR-125b-5p,DUS1L
hsa-miR-125b-5p,PAFAH1B1
hsa-miR-125b-5p,PCTP
hsa-miR-125b-5p,CDR2L
hsa-miR-125b-5p,VPS4B
hsa-miR-125b-5p,IER2
hsa-miR-125b-5p,BCL2L12
hsa-miR-125b-5p,ZNF460
hsa-miR-125b-5p,TGOLN2
hsa-miR-125b-5p,SEMA4C
hsa-miR-125b-5p,GLS
hsa-miR-125b-5p,RETREG2
hsa-miR-125b-5p,BRWD1
hsa-miR-125b-5p,NUP210
hsa-miR-125b-5p,SLC26A6
hsa-miR-125b-5p,BRPF1
hsa-miR-125b-5p,FNDC3B
hsa-miR-125b-5p,SCARB2
hsa-miR-125b-5p,RUFY3
hsa-miR-125b-5p,ZSWIM6
hsa-miR-125b-5p,LNPEP
hsa-miR-125b-5p,PRRC1
hsa-miR-125b-5p,SLC35A4
hsa-miR-125b-5p,GTPBP2
hsa-miR-125b-5p,RREB1
hsa-miR-125b-5p,E2F3
hsa-miR-125b-5p,LIN28B
hsa-miR-125b-5p,PRDM1
hsa-miR-125b-5p,LFNG
hsa-miR-125b-5p,MFHAS1
hsa-miR-125b-5p,MTUS1
hsa-miR-125b-5p,TP53INP1
hsa-miR-125b-5p,B4GALT1
hsa-miR-125b-5p,SEMA4D
hsa-miR-125b-5p,MEGF9
hsa-miR-125b-5p,TOR2A
hsa-miR-125b-5p,GPR107
hsa-miR-125b-5p,DYNLT3
hsa-miR-125b-5p,FMR1
hsa-miR-126-3p,HERPUD1
hsa-miR-126-3p,PLXNB2
hsa-miR-1271-5p,GNG12
hsa-miR-1271-5p,DDAH1
hsa-miR-1271-5p,CNN3
hsa-miR-1271-5p,SLC39A1
hsa-miR-1271-5p,AL358472.7
hsa-miR-1271-5p,SHC1
hsa-miR-1271-5p,ASH1L
hsa-miR-1271-5p,VAMP3
hsa-miR-1271-5p,SPEN
hsa-miR-1271-5p,UCK2
hsa-miR-1271-5p,LAMC1
hsa-miR-1271-5p,RGS2
hsa-miR-1271-5p,NEK7
hsa-miR-1271-5p,ATP2B4
hsa-miR-1271-5p,GALNT2
hsa-miR-1271-5p,KIF5B
hsa-miR-1271-5p,JMJD1C
hsa-miR-1271-5p,ZEB1
hsa-miR-1271-5p,VCL
hsa-miR-1271-5p,SLF2
hsa-miR-1271-5p,TCF7L2
hsa-miR-1271-5p,INPP5A
hsa-miR-1271-5p,PIK3C2A
hsa-miR-1271-5p,CELF1
hsa-miR-1271-5p,ZDHHC5
hsa-miR-1271-5p,CTNND1
hsa-miR-1271-5p,AP001931.2
hsa-miR-1271-5p,TSKU
hsa-miR-1271-5p,NTN4
hsa-miR-1271-5p,TMBIM6
hsa-miR-1271-5p,MFSD5
hsa-miR-1271-5p,FRS2
hsa-miR-1271-5p,NHLRC3
hsa-miR-1271-5p,MBNL2
hsa-miR-1271-5p,ZIC2
hsa-miR-1271-5p,ZFP36L1
hsa-miR-1271-5p,EIF5
hsa-miR-1271-5p,MORF4L1
hsa-miR-1271-5p,JPT2
hsa-miR-1271-5p,TNRC6A
hsa-miR-1271-5p,GAN
hsa-miR-1271-5p,FAM222B
hsa-miR-1271-5p,MED1
hsa-miR-1271-5p,VAT1
hsa-miR-1271-5p,PPP1R9B
hsa-miR-1271-5p,AP2B1
hsa-miR-1271-5p,KPNB1
